payee_name,part_postcode,town,county_council,parliamentary_constituency,scheme,scheme_detail,activity_level,financial_year,amount
Donnie White,HU17,Beverley,None,Beverley and Holderness,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,1612
Angel Heathcote,E14,"Tower Hamlets, unparished area",None,Poplar and Limehouse,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,4044
Angel Heathcote,E14,"Tower Hamlets, unparished area",None,Poplar and Limehouse,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2028
Angel Heathcote,E14,"Tower Hamlets, unparished area",None,Poplar and Limehouse,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,2586
Abram Ortiz,G21,None,None,Glasgow North East,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,1340
Abram Ortiz,G21,None,None,Glasgow North East,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,3829
Abram Ortiz,G21,None,None,Glasgow North East,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2678
Jere Von,LU5,Dunstable,None,South West Bedfordshire,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,3769
Jere Von,LU5,Dunstable,None,South West Bedfordshire,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,2647
Jere Von,LU5,Dunstable,None,South West Bedfordshire,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2967
Jere Von,LU5,Dunstable,None,South West Bedfordshire,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,3967
Tyrone Koch,CH44,"Wirral, unparished area",None,Wallasey,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,1532
Tyrone Koch,CH44,"Wirral, unparished area",None,Wallasey,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,2828
Tyrone Koch,CH44,"Wirral, unparished area",None,Wallasey,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2926
Marlin Pacocha,NN11,Daventry,None,Daventry,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3571
Marlin Pacocha,NN11,Daventry,None,Daventry,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,1717
Warner Mills,BT51,None,None,East Londonderry,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,1788
Warner Mills,BT51,None,None,East Londonderry,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,4066
Warner Mills,BT51,None,None,East Londonderry,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Lucila Wintheiser,TN4,"Tunbridge Wells, unparished area",Kent,Tunbridge Wells,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,1793
Lucila Wintheiser,TN4,"Tunbridge Wells, unparished area",Kent,Tunbridge Wells,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2099
Lucila Wintheiser,TN4,"Tunbridge Wells, unparished area",Kent,Tunbridge Wells,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Janette Metz,NW6,"Camden, unparished area",None,Hampstead and Kilburn,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,4668
Janette Metz,NW6,"Camden, unparished area",None,Hampstead and Kilburn,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,3440
Janette Metz,NW6,"Camden, unparished area",None,Hampstead and Kilburn,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,3142
Janette Metz,NW6,"Camden, unparished area",None,Hampstead and Kilburn,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3739
Russell West,W14,"Hammersmith and Fulham, unparished area",None,Hammersmith,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,1779
Russell West,W14,"Hammersmith and Fulham, unparished area",None,Hammersmith,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,4143
Russell West,W14,"Hammersmith and Fulham, unparished area",None,Hammersmith,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4934
Mikaela Hoeger,LA9,Kendal,Cumbria,Westmorland and Lonsdale,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,3878
Mikaela Hoeger,LA9,Kendal,Cumbria,Westmorland and Lonsdale,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,1886
Mikaela Hoeger,LA9,Kendal,Cumbria,Westmorland and Lonsdale,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2530
Maritza Kemmer,NW10,"Brent, unparished area",None,Brent Central,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,3314
Maritza Kemmer,NW10,"Brent, unparished area",None,Brent Central,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,4840
Maritza Kemmer,NW10,"Brent, unparished area",None,Brent Central,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,3004
Dillon Wehner,EH6,None,None,Edinburgh North and Leith,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2867
Dillon Wehner,EH6,None,None,Edinburgh North and Leith,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,3673
Dillon Wehner,EH6,None,None,Edinburgh North and Leith,Farming Equipment and Technology Fund,General,Medium,21/22,3988
Dillon Wehner,EH6,None,None,Edinburgh North and Leith,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,3751
Dillon Wehner,EH6,None,None,Edinburgh North and Leith,Farming Equipment and Technology Fund,General,Medium,21/22,1776
Lamont Heller,RM5,"Havering, unparished area",None,Romford,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4187
Lamont Heller,RM5,"Havering, unparished area",None,Romford,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4919
Lamont Heller,RM5,"Havering, unparished area",None,Romford,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,3124
Lamont Heller,RM5,"Havering, unparished area",None,Romford,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Lamont Heller,RM5,"Havering, unparished area",None,Romford,Farming Equipment and Technology Fund,General,Medium,21/22,2761
Jeffery Kuhn,WN3,"Wigan, unparished area",None,Makerfield,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2484
Jeffery Kuhn,WN3,"Wigan, unparished area",None,Makerfield,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,3093
Jeffery Kuhn,WN3,"Wigan, unparished area",None,Makerfield,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3611
Jeffery Kuhn,WN3,"Wigan, unparished area",None,Makerfield,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,3244
Jeffery Kuhn,WN3,"Wigan, unparished area",None,Makerfield,Farming Equipment and Technology Fund,General,Medium,21/22,2083
Leo Krajcik,DE6,Ashbourne,Derbyshire,Derbyshire Dales,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3566
Leo Krajcik,DE6,Ashbourne,Derbyshire,Derbyshire Dales,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,1660
Leo Krajcik,DE6,Ashbourne,Derbyshire,Derbyshire Dales,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,4254
Leo Krajcik,DE6,Ashbourne,Derbyshire,Derbyshire Dales,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,1471
Yuriko Langosh,DH4,"Sunderland, unparished area",None,Houghton and Sunderland South,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2895
Yuriko Langosh,DH4,"Sunderland, unparished area",None,Houghton and Sunderland South,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,1840
Yuriko Langosh,DH4,"Sunderland, unparished area",None,Houghton and Sunderland South,Farming Equipment and Technology Fund,General,Medium,21/22,1313
Alexander Spencer,SO31,"Fareham, unparished area",Hampshire,Fareham,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,4719
Marco Prosacco,HU12,Patrington,None,Beverley and Holderness,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Marco Prosacco,HU12,Patrington,None,Beverley and Holderness,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,1449
Marco Prosacco,HU12,Patrington,None,Beverley and Holderness,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2220
Wayne Anderson,HP23,Tring,Hertfordshire,South West Hertfordshire,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,3151
Wayne Anderson,HP23,Tring,Hertfordshire,South West Hertfordshire,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,4258
Wayne Anderson,HP23,Tring,Hertfordshire,South West Hertfordshire,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,1769
Wayne Anderson,HP23,Tring,Hertfordshire,South West Hertfordshire,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,2049
Wayne Anderson,HP23,Tring,Hertfordshire,South West Hertfordshire,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,2916
Quiana Deckow,DE55,Alfreton,Derbyshire,Amber Valley,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2551
Quiana Deckow,DE55,Alfreton,Derbyshire,Amber Valley,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,2115
Sharice Beier,PE3,Bretton,None,Peterborough,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,1485
Sharice Beier,PE3,Bretton,None,Peterborough,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,1660
Sharice Beier,PE3,Bretton,None,Peterborough,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,1896
Sharice Beier,PE3,Bretton,None,Peterborough,Farming Equipment and Technology Fund,Forestry,Medium,21/22,1785
Sharice Beier,PE3,Bretton,None,Peterborough,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,4444
Denita Pacocha,CA14,Workington,Cumbria,Workington,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,4500
Denita Pacocha,CA14,Workington,Cumbria,Workington,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4342
Denita Pacocha,CA14,Workington,Cumbria,Workington,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,4548
Arla Bayer,BS31,Keynsham,None,North East Somerset,Farming Equipment and Technology Fund,General,Medium,21/22,1353
Arla Bayer,BS31,Keynsham,None,North East Somerset,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,2084
Arla Bayer,BS31,Keynsham,None,North East Somerset,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,3587
Arla Bayer,BS31,Keynsham,None,North East Somerset,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,2666
Arla Bayer,BS31,Keynsham,None,North East Somerset,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,1892
Arla Bayer,BS31,Keynsham,None,North East Somerset,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,3797
Mitchell Aufderhar,BR2,"Bromley, unparished area",None,Beckenham,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,1635
Mitchell Aufderhar,BR2,"Bromley, unparished area",None,Beckenham,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,2270
Mitchell Aufderhar,BR2,"Bromley, unparished area",None,Beckenham,Farming Equipment and Technology Fund,General,Medium,21/22,4197
Mitchell Aufderhar,BR2,"Bromley, unparished area",None,Beckenham,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,3545
Mitchell Aufderhar,BR2,"Bromley, unparished area",None,Beckenham,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,3839
Mitchell Aufderhar,BR2,"Bromley, unparished area",None,Beckenham,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Mignon Waters,OL5,Mossley,None,Stalybridge and Hyde,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,4923
Mignon Waters,OL5,Mossley,None,Stalybridge and Hyde,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,3523
Mignon Waters,OL5,Mossley,None,Stalybridge and Hyde,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,3880
Mignon Waters,OL5,Mossley,None,Stalybridge and Hyde,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,4882
Mignon Waters,OL5,Mossley,None,Stalybridge and Hyde,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3919
Rich Collins,NN8,Wellingborough,None,Wellingborough,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,4679
Rich Collins,NN8,Wellingborough,None,Wellingborough,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,4895
Rich Collins,NN8,Wellingborough,None,Wellingborough,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,3853
Terina Leffler,BT34,None,None,South Down,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2917
Terina Leffler,BT34,None,None,South Down,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,2471
Terina Leffler,BT34,None,None,South Down,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,1420
Terina Leffler,BT34,None,None,South Down,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,4878
Alonzo Harris,NE22,West Bedlington,None,Wansbeck,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,3935
Alonzo Harris,NE22,West Bedlington,None,Wansbeck,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,4091
Alonzo Harris,NE22,West Bedlington,None,Wansbeck,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,2502
Alonzo Harris,NE22,West Bedlington,None,Wansbeck,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2717
Jasper Upton,KY12,None,None,Dunfermline and West Fife,Farming Equipment and Technology Fund,General,Medium,21/22,4783
Jasper Upton,KY12,None,None,Dunfermline and West Fife,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2622
Eusebio Bailey,WV98,Kidderminster,Worcestershire,Wyre Forest,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,1263
Eusebio Bailey,WV98,Kidderminster,Worcestershire,Wyre Forest,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,3625
Eusebio Bailey,WV98,Kidderminster,Worcestershire,Wyre Forest,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,4225
Eusebio Bailey,WV98,Kidderminster,Worcestershire,Wyre Forest,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,1967
Afton Bednar,SA1,Bonymaen,None,Swansea East,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,4185
Afton Bednar,SA1,Bonymaen,None,Swansea East,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,1463
Afton Bednar,SA1,Bonymaen,None,Swansea East,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3729
Afton Bednar,SA1,Bonymaen,None,Swansea East,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2442
Afton Bednar,SA1,Bonymaen,None,Swansea East,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,4211
Selene Brown,SO40,Totton and Eling,Hampshire,New Forest East,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,1387
Selene Brown,SO40,Totton and Eling,Hampshire,New Forest East,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3799
Selene Brown,SO40,Totton and Eling,Hampshire,New Forest East,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3029
Selene Brown,SO40,Totton and Eling,Hampshire,New Forest East,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2854
Dominique Harris,SA17,Kidwelly,None,Llanelli,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4773
Dominique Harris,SA17,Kidwelly,None,Llanelli,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,3514
Dominique Harris,SA17,Kidwelly,None,Llanelli,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,4975
Thomasine Herman,GL5,Cainscross,Gloucestershire,Stroud,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4237
Thomasine Herman,GL5,Cainscross,Gloucestershire,Stroud,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4363
Thomasine Herman,GL5,Cainscross,Gloucestershire,Stroud,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,4664
Thomasine Herman,GL5,Cainscross,Gloucestershire,Stroud,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,4106
Johnnie Terry,BA2,"Bath and North East Somerset, unparished area",None,Bath,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,3919
Johnnie Terry,BA2,"Bath and North East Somerset, unparished area",None,Bath,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2995
Arletta Lubowitz,CF83,"Bedwas, Trethomas and Machen",None,Caerphilly,Farming Equipment and Technology Fund,General,Medium,21/22,1617
Edgardo Torp,TQ12,Newton Abbot,Devon,Newton Abbot,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,3251
Edgardo Torp,TQ12,Newton Abbot,Devon,Newton Abbot,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,3238
Edgardo Torp,TQ12,Newton Abbot,Devon,Newton Abbot,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2126
Edgardo Torp,TQ12,Newton Abbot,Devon,Newton Abbot,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,1745
Juliana McDermott,CM20,"Harlow, unparished area",Essex,Harlow,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,3807
Juliana McDermott,CM20,"Harlow, unparished area",Essex,Harlow,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,1390
Juliana McDermott,CM20,"Harlow, unparished area",Essex,Harlow,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,1985
Austin Weimann,OX18,Carterton,Oxfordshire,Witney,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,2224
Austin Weimann,OX18,Carterton,Oxfordshire,Witney,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,1965
Austin Weimann,OX18,Carterton,Oxfordshire,Witney,Farming Equipment and Technology Fund,Forestry,Medium,21/22,2044
Austin Weimann,OX18,Carterton,Oxfordshire,Witney,Farming Equipment and Technology Fund,Forestry,Medium,21/22,4418
Austin Weimann,OX18,Carterton,Oxfordshire,Witney,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,3394
Austin Weimann,OX18,Carterton,Oxfordshire,Witney,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,3008
Darron Stokes,CV36,Great Wolford,Warwickshire,Stratford-on-Avon,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,4510
Darron Stokes,CV36,Great Wolford,Warwickshire,Stratford-on-Avon,Farming Equipment and Technology Fund,General,Medium,21/22,1542
Darron Stokes,CV36,Great Wolford,Warwickshire,Stratford-on-Avon,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,1988
Darron Stokes,CV36,Great Wolford,Warwickshire,Stratford-on-Avon,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,4736
Darron Stokes,CV36,Great Wolford,Warwickshire,Stratford-on-Avon,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4591
Alesia Tromp,NR34,Covehithe,Suffolk,Suffolk Coastal,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,2500
Alesia Tromp,NR34,Covehithe,Suffolk,Suffolk Coastal,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,2600
Kiara Watsica,TQ2,"Torbay, unparished area",None,Torbay,Farming Equipment and Technology Fund,Forestry,Medium,21/22,4821
Kiara Watsica,TQ2,"Torbay, unparished area",None,Torbay,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Apolonia Graham,RG31,Tilehurst,None,Reading West,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,3804
Apolonia Graham,RG31,Tilehurst,None,Reading West,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,3512
Apolonia Graham,RG31,Tilehurst,None,Reading West,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,4925
Apolonia Graham,RG31,Tilehurst,None,Reading West,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4434
Hilton Kemmer,CA9,Alston Moor,Cumbria,Penrith and The Border,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,2036
Hilton Kemmer,CA9,Alston Moor,Cumbria,Penrith and The Border,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,3245
Hilton Kemmer,CA9,Alston Moor,Cumbria,Penrith and The Border,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,4242
Hilton Kemmer,CA9,Alston Moor,Cumbria,Penrith and The Border,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4457
Hilton Kemmer,CA9,Alston Moor,Cumbria,Penrith and The Border,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,4854
Hilton Kemmer,CA9,Alston Moor,Cumbria,Penrith and The Border,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2419
Merilyn Kerluke,BA14,Trowbridge,None,South West Wiltshire,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,4304
Merilyn Kerluke,BA14,Trowbridge,None,South West Wiltshire,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,3235
Merilyn Kerluke,BA14,Trowbridge,None,South West Wiltshire,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,1687
Merilyn Kerluke,BA14,Trowbridge,None,South West Wiltshire,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,4615
Merilyn Kerluke,BA14,Trowbridge,None,South West Wiltshire,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Merilyn Kerluke,BA14,Trowbridge,None,South West Wiltshire,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,1703
Sharee Grimes,ST5,"Newcastle-under-Lyme, unparished area",Staffordshire,Newcastle-under-Lyme,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2748
Sharee Grimes,ST5,"Newcastle-under-Lyme, unparished area",Staffordshire,Newcastle-under-Lyme,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,3216
Sharee Grimes,ST5,"Newcastle-under-Lyme, unparished area",Staffordshire,Newcastle-under-Lyme,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,3693
Keva Stiedemann,MK8,Shenley Church End,None,Milton Keynes South,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,2570
Keva Stiedemann,MK8,Shenley Church End,None,Milton Keynes South,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,3928
Keva Stiedemann,MK8,Shenley Church End,None,Milton Keynes South,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4186
Keva Stiedemann,MK8,Shenley Church End,None,Milton Keynes South,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,1817
Keva Stiedemann,MK8,Shenley Church End,None,Milton Keynes South,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,4276
Keva Stiedemann,MK8,Shenley Church End,None,Milton Keynes South,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,1356
Seth Fadel,CO6,Coggeshall,Essex,Witham,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Seth Fadel,CO6,Coggeshall,Essex,Witham,Farming Equipment and Technology Fund,General,Medium,21/22,4308
Seth Fadel,CO6,Coggeshall,Essex,Witham,Farming Equipment and Technology Fund,Forestry,Medium,21/22,2539
Seth Fadel,CO6,Coggeshall,Essex,Witham,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2411
Seth Fadel,CO6,Coggeshall,Essex,Witham,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,1594
Seth Fadel,CO6,Coggeshall,Essex,Witham,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,1755
Genaro Mayer,ST6,"Stoke-on-Trent, unparished area",None,Stoke-on-Trent North,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3197
Genaro Mayer,ST6,"Stoke-on-Trent, unparished area",None,Stoke-on-Trent North,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3828
Genaro Mayer,ST6,"Stoke-on-Trent, unparished area",None,Stoke-on-Trent North,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,2230
Genaro Mayer,ST6,"Stoke-on-Trent, unparished area",None,Stoke-on-Trent North,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,1915
Genaro Mayer,ST6,"Stoke-on-Trent, unparished area",None,Stoke-on-Trent North,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4640
Obdulia Upton,TA10,High Ham,Somerset,Somerton and Frome,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,2916
Hilaria Durgan,LN4,Heighington,Lincolnshire,Sleaford and North Hykeham,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3362
Hilaria Durgan,LN4,Heighington,Lincolnshire,Sleaford and North Hykeham,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4212
Alexis Schroeder,OL11,"Rochdale, unparished area",None,Heywood and Middleton,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,1968
Alexis Schroeder,OL11,"Rochdale, unparished area",None,Heywood and Middleton,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3603
Alexis Schroeder,OL11,"Rochdale, unparished area",None,Heywood and Middleton,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,1421
Alexis Schroeder,OL11,"Rochdale, unparished area",None,Heywood and Middleton,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,3275
Valene Rodriguez,BH23,Christchurch,None,Christchurch,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4085
Valene Rodriguez,BH23,Christchurch,None,Christchurch,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,2552
Valene Rodriguez,BH23,Christchurch,None,Christchurch,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Valene Rodriguez,BH23,Christchurch,None,Christchurch,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2350
Valene Rodriguez,BH23,Christchurch,None,Christchurch,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,2594
Valene Rodriguez,BH23,Christchurch,None,Christchurch,Farming Equipment and Technology Fund,General,Medium,21/22,4514
Ariane Becker,EN2,"Enfield, unparished area",None,Enfield North,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,4075
Ariane Becker,EN2,"Enfield, unparished area",None,Enfield North,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,2848
Ariane Becker,EN2,"Enfield, unparished area",None,Enfield North,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Ariane Becker,EN2,"Enfield, unparished area",None,Enfield North,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,4010
